,weighted_mean,freq,min,max,std
NN VVZ NNS ,0.7685217266222222,9,0.7492179116,0.8360850792,0.03611413103540778
NN VVZ NN ,0.7196091721085712,35,0.6873935804,0.8360850792,0.04452662553452812
JJ NNS NNS ,0.8360850792,1,0.8360850792,0.8360850792,0.0
VVP NNS NNS ,0.8360850792,1,0.8360850792,0.8360850792,0.0
RB VVP NNS ,0.8353914449000001,13,0.8353914449,0.8353914449,1.1102230246251565e-16
RB VV NNS ,0.8353914449,4,0.8353914449,0.8353914449,0.0
VVG NN VVP NN ,0.8335066162999999,12,0.8335066163,0.8335066163,1.1102230246251565e-16
VVG NP NP NP ,0.8335066163,1,0.8335066163,0.8335066163,0.0
VVP NP ,0.77040034104,5,0.6054151376,0.8332218199,0.0847196552348975
VVG VVZ ,0.7316685760083333,12,0.7048246366,0.8311888922,0.04190591012732402
RB JJ NN ,0.7232696962138889,72,0.6098962587,0.8291550504,0.06927287879906542
RB VVN NN NNS ,0.8286670731,2,0.8286670731,0.8286670731,0.0
JJ VVG NP ,0.8283630711,1,0.8283630711,0.8283630711,0.0
NN FW ,0.8283560879999999,5,0.828356088,0.828356088,1.1102230246251565e-16
NP FW ,0.828356088,1,0.828356088,0.828356088,0.0
VV VVN ,0.7611079305775,40,0.6286107132,0.8278630447,0.05011559085678507
RB VVG JJ NN ,0.8277087886,79,0.8277087886,0.8277087886,0.0
RB VVG VVG ,0.826880245,15,0.826880245,0.826880245,0.0
NN NN JJ NN ,0.6709565195867246,806,0.6252017859,0.8258265768,0.00873934533005371
VVN VVD ,0.8258172296,4,0.8258172296,0.8258172296,0.0
VVD VVN ,0.8238059362666666,3,0.8228002896,0.8258172296,0.0014221991549553323
NN VVG NN NN ,0.684831411764706,17,0.6147809319,0.8254587132,0.09178936918649855
JJ VVG NN NN ,0.6808458559,33,0.6136577735,0.8254587132,0.07383430008408186
VVP VVG NNS ,0.754824924225,4,0.7139022565,0.8245028822,0.041662680902630034
NN JJ NN NNS ,0.8097065641703706,27,0.7998452297,0.8240503234,0.011893216861969626
JJ NN NN NN NN VVG ,0.7902470117061223,49,0.7003767236,0.8227001713,0.054005321984557625
NN NN IN ,0.8220870022,3,0.8220870022,0.8220870022,0.0
NN NN VV ,0.6733276945714286,14,0.6150967653,0.8220870022,0.052742160869569746
RB VVN NNS ,0.802271484326214,103,0.702218271,0.8220494451,0.04448425034163368
RB JJ NNS ,0.8220494451,2,0.8220494451,0.8220494451,0.0
NN VV NN ,0.80267429666,10,0.7349276211,0.8216245465,0.034206845199671855
NN VVP NN ,0.72563181657,20,0.6906847127,0.8216245465,0.056239502995464666
NNS RBR ,0.8216023165,16,0.8216023165,0.8216023165,0.0
RB VVN JJ NN ,0.7946025764140451,178,0.6375325308,0.8212301131,0.056230538238355283
RB VVD JJ NN ,0.8212301131,3,0.8212301131,0.8212301131,0.0
VVG JJ NN ,0.6352750362250189,1323,0.6073895228,0.8206607481,0.05878304898520765
NP NN VVZ ,0.7516022241380281,71,0.602375006,0.8204289924,0.08057712248566795
JJ NN NN NP ,0.7159454355044641,112,0.6010916523,0.8184128754,0.04813716224750051
JJ NN NN JJ ,0.7515657833959998,50,0.6482460508,0.8184128754,0.026299035039624788
VVD JJ NN ,0.7521235009808641,486,0.6353950732,0.8155199901,0.03973013330630127
VV VVZ ,0.8149173027,1,0.8149173027,0.8149173027,0.0
NN VVD NN ,0.73704073305,32,0.6379819948,0.8146487247,0.07824416119009556
JJ NN VVD NN NN NN ,0.8136898691,16,0.8136898691,0.8136898691,0.0
JJ NN VVN ,0.8019139090147057,34,0.6817848802,0.8135392989,0.037370400004718786
`` `` ,0.8122815569,12,0.8122815569,0.8122815569,0.0
RB VVD NN ,0.7639794751,2,0.7162250733,0.8117338769,0.04775440180000001
NNS VVN ,0.7034061990314242,646,0.6081726601,0.8111175383,0.05844855145297259
NN NN NN NNS ,0.6847821487072462,138,0.6043050669,0.8107152249,0.077739101344549
NN NN NNS NN ,0.6445213522780645,155,0.6152737702,0.810544152,0.043758381565546414
NN NN NNS NP ,0.810544152,16,0.810544152,0.810544152,0.0
